#GC Content (%)	Sample
1.0	2.0455351068348423E-6
2.0	1.2696424801043848E-6
3.0	3.06124909091835E-6
4.0	9.451782907443754E-6
5.0	1.29362461583969E-5
6.0	1.4770174185214344E-5
7.0	1.93267799749223E-5
8.0	2.1231243695078884E-5
9.0	2.231749337250152E-5
10.0	3.06124909091835E-5
11.0	5.803676847943822E-5
12.0	1.3212746076286298E-4
13.0	2.542811744875727E-4
14.0	4.2449790965356723E-4
15.0	6.113469613089292E-4
16.0	7.70969235335386E-4
17.0	9.459682905097737E-4
18.0	0.0011603826911220688
19.0	0.001408188688961109
20.0	0.0016872278918107174
21.0	0.0020174760080245353
22.0	0.0024684812312349485
23.0	0.0030750317653968164
24.0	0.0038051890485661806
25.0	0.005201584169600987
26.0	0.005223831127280149
27.0	0.006876468315077356
28.0	0.008092009918390626
29.0	0.009472689686949472
30.0	0.011308225927575051
31.0	0.013815558218701191
32.0	0.01696475121207477
33.0	0.020739708662475806
34.0	0.025318349802782907
35.0	0.030718167484944194
36.0	0.03685996423247848
37.0	0.04229424565440526
38.0	0.04605018668188206
39.0	0.04879763658027328
40.0	0.05050623678716575
41.0	0.051011921279852664
42.0	0.05051952571179085
43.0	0.04936945533903496
44.0	0.047401594137705165
45.0	0.04509864607159849
46.0	0.04311388451814465
47.0	0.04186998756610905
48.0	0.040890613571233865
49.0	0.03844377269071536
50.0	0.03427295482215645
51.0	0.03231659093884094
52.0	0.022408075309887636
53.0	0.021004048226833535
54.0	0.017234112917798253
55.0	0.013872678023167223
56.0	0.011203325244441092
57.0	0.009094533727819716
58.0	0.007385411556796532
59.0	0.005935310558853311
60.0	0.00471937395565734
61.0	0.0037198690739031655
62.0	0.002891229855693705
63.0	0.002244756119101888
64.0	0.0017237089524057162
65.0	0.00132289692857543
66.0	9.803897088592702E-4
67.0	7.215660357206575E-4
68.0	5.419257319245549E-4
69.0	4.0411309427855783E-4
70.0	3.123320501056787E-4
71.0	2.3766296513687307E-4
72.0	1.7086566354471456E-4
73.0	1.0560604006734918E-4
74.0	5.27042700629998E-5
75.0	3.062659804785133E-5
76.0	1.6801602153381364E-5
77.0	1.1553746568949901E-5
78.0	8.831068806059389E-6
79.0	7.138212165920208E-6
80.0	7.321604968601954E-6
81.0	3.921784549655766E-6
82.0	2.426427850866158E-6
83.0	2.384106434862679E-6
84.0	3.10357050692183E-6
85.0	3.089463368254003E-6
86.0	2.53928496020877E-6
87.0	2.0455351068348427E-6
88.0	2.7508920402261672E-6
89.0	3.512677528288798E-6
90.0	3.4421418349496658E-6
91.0	5.910891101819302E-6
92.0	4.302677293687082E-6
93.0	4.232141600347949E-6
94.0	6.277676707182792E-6
95.0	5.12089133642102E-6
96.0	5.445355525781029E-6
97.0	1.17653536489673E-5
98.0	7.94231906998632E-6
99.0	3.411106129880448E-5
100.0	1.2118032115662963E-5
