#Coverage	Number of genomic locations
327.0	3139.0
328.0	3068.0
329.0	3032.0
330.0	3016.0
331.0	3044.0
332.0	2944.0
333.0	2868.0
334.0	2735.0
335.0	2724.0
336.0	2805.0
337.0	2733.0
338.0	2647.0
339.0	2602.0
340.0	2658.0
341.0	2551.0
342.0	2506.0
343.0	2488.0
344.0	2459.0
345.0	2403.0
346.0	2453.0
347.0	2340.0
348.0	2303.0
349.0	2266.0
350.0	2215.0
351.0	2236.0
352.0	2119.0
353.0	2075.0
354.0	2036.0
355.0	2086.0
356.0	2111.0
357.0	2134.0
358.0	2060.0
359.0	2009.0
360.0	1911.0
361.0	1958.0
362.0	1792.0
363.0	1773.0
364.0	1787.0
365.0	1774.0
366.0	1757.0
367.0	1756.0
368.0	1765.0
369.0	1761.0
370.0	1718.0
371.0	1701.0
372.0	1692.0
373.0	1608.0
374.0	1657.0
375.0	1611.0
376.0	1516.0
377.0	1568.0
378.0	1655.0
379.0	1534.0
380.0	1498.0
381.0	1515.0
382.0	1491.0
383.0	1409.0
384.0	1397.0
385.0	1418.0
386.0	1428.0
387.0	1310.0
388.0	1401.0
389.0	1350.0
390.0	1377.0
391.0	1379.0
392.0	1363.0
393.0	1409.0
394.0	1347.0
395.0	1308.0
396.0	1323.0
397.0	1315.0
398.0	1231.0
399.0	1238.0
400.0	1242.0
401.0	1241.0
402.0	1184.0
403.0	1166.0
404.0	1079.0
405.0	1098.0
406.0	1073.0
407.0	1077.0
408.0	1092.0
409.0	1047.0
410.0	1064.0
411.0	1089.0
412.0	1069.0
413.0	1035.0
414.0	982.0
415.0	1005.0
416.0	984.0
417.0	932.0
418.0	995.0
419.0	932.0
420.0	974.0
421.0	917.0
422.0	878.0
423.0	875.0
424.0	906.0
425.0	965.0
426.0	913.0
427.0	889.0
428.0	848.0
429.0	900.0
430.0	877.0
431.0	871.0
432.0	874.0
433.0	853.0
434.0	819.0
435.0	836.0
436.0	953.0
437.0	847.0
438.0	848.0
439.0	810.0
440.0	881.0
441.0	883.0
442.0	811.0
443.0	737.0
444.0	750.0
445.0	814.0
446.0	805.0
447.0	752.0
448.0	787.0
449.0	720.0
450.0	819.0
451.0	824.0
452.0	725.0
453.0	756.0
454.0	786.0
455.0	761.0
456.0	801.0
457.0	763.0
458.0	748.0
459.0	702.0
460.0	706.0
461.0	708.0
462.0	639.0
463.0	626.0
464.0	646.0
465.0	650.0
466.0	676.0
467.0	625.0
468.0	678.0
469.0	617.0
470.0	678.0
471.0	610.0
472.0	597.0
473.0	597.0
474.0	583.0
475.0	633.0
476.0	596.0
477.0	637.0
478.0	611.0
479.0	643.0
480.0	627.0
481.0	594.0
482.0	597.0
483.0	601.0
484.0	624.0
485.0	554.0
486.0	570.0
487.0	591.0
488.0	593.0
489.0	576.0
490.0	585.0
491.0	610.0
492.0	519.0
493.0	528.0
494.0	558.0
495.0	579.0
496.0	588.0
497.0	571.0
498.0	560.0
499.0	512.0
500.0	559.0
501.0	545.0
502.0	537.0
503.0	492.0
504.0	513.0
505.0	496.0
506.0	476.0
507.0	504.0
508.0	507.0
509.0	520.0
510.0	506.0
511.0	499.0
512.0	511.0
513.0	505.0
514.0	510.0
515.0	449.0
516.0	496.0
517.0	483.0
518.0	550.0
519.0	499.0
520.0	533.0
521.0	463.0
522.0	478.0
523.0	488.0
524.0	481.0
525.0	509.0
526.0	509.0
527.0	498.0
528.0	474.0
529.0	501.0
530.0	482.0
531.0	472.0
532.0	498.0
533.0	472.0
534.0	492.0
535.0	435.0
