#Read position (bp)	Clipping profile
0.0	13.030836047438822
1.0	1.5846250585763415
2.0	1.5163590508187736
3.0	1.436707118202444
4.0	1.352534304404898
5.0	1.2644032145289177
6.0	1.2176033304610718
7.0	1.1690150223792213
8.0	1.1198442214271918
9.0	1.0717970030373576
10.0	1.0240799419318696
11.0	0.986309307718068
12.0	0.9486620183532172
13.0	0.9117602913784371
14.0	0.875637646074329
15.0	0.84006845037906
16.0	0.8085493400209294
17.0	0.7776286429196674
18.0	0.7474937415179689
19.0	0.7184206230943526
20.0	0.6902128005760361
21.0	0.6641746266667287
22.0	0.6388266752729937
23.0	0.6142067891031279
24.0	0.5904283436904553
25.0	0.56721906481789
26.0	0.5455864637299757
27.0	0.5245887961469906
28.0	0.5042417281363478
29.0	0.4845557376522264
30.0	0.824748714956233
31.0	0.800980238859187
32.0	0.75922976229233
33.0	0.7335791709599321
34.0	0.6914298200403028
35.0	0.754683042272653
36.0	0.7180217487415804
37.0	0.6900633625693484
38.0	0.6686853859407528
39.0	0.6457229493576547
40.0	0.6427435481732652
41.0	0.6244580939431074
42.0	0.6001885071442619
43.0	0.5813387184402443
44.0	0.5574884024001213
45.0	0.553570257903469
46.0	0.5332389068240946
47.0	0.5212200321507581
48.0	0.4998611803317317
49.0	0.4877257257021909
50.0	0.4719033536619072
51.0	0.46037587469401986
52.0	0.44638755154588866
53.0	0.4331293790396913
54.0	0.4207028305666265
55.0	0.41479880856993784
56.0	0.40343551812675693
57.0	0.39188525215172315
58.0	0.3813885292102229
59.0	0.3704956785641334
60.0	0.3619916488792713
61.0	0.3525513682110532
62.0	0.34338193757197466
63.0	0.3340193768745594
64.0	0.3217890102911455
65.0	0.31598452885915657
66.0	0.30665294424958095
67.0	0.29866345332430105
68.0	0.2887821830311742
69.0	0.28000033496900506
70.0	0.2726732948943379
71.0	0.26421504267918955
72.0	0.25418962422031965
73.0	0.24528178638872739
74.0	0.23587828028784597
75.0	0.22636256852231074
76.0	0.21569952077418403
77.0	0.20218387543277458
78.0	0.18975798818982786
79.0	0.17905313035269596
80.0	0.17262831334223094
81.0	0.16791247100388945
82.0	0.16495529732423855
83.0	0.16364280640369103
84.0	0.16258666931354032
85.0	0.16304561387934796
86.0	0.1638085717079099
87.0	0.1658202371825516
88.0	0.16751415615352486
89.0	0.17060815360376455
90.0	0.1729219503785168
91.0	0.1769275807061776
92.0	0.18070930834308302
93.0	0.1850307523479132
94.0	0.18956653663871403
95.0	0.1949203134494438
96.0	0.1998516659424264
97.0	0.20590980542048457
98.0	0.21172196729461434
99.0	0.21807791464508783
100.0	0.22482937933388783
101.0	0.23211171007980128
102.0	0.23945085575201494
103.0	0.2473899405967545
104.0	0.2555205278564632
105.0	0.26422892851166935
106.0	0.27352846889244536
107.0	0.28342871140357584
108.0	0.29366180698338024
109.0	0.30444453738288074
110.0	0.3158576744041943
111.0	0.327875074025729
112.0	0.3405553314087183
113.0	0.3537019086165247
114.0	0.3675534588579223
115.0	0.3818668529048761
116.0	0.3971173626207249
117.0	0.4129089620285899
118.0	0.4294216583121564
119.0	0.44655641954527703
120.0	0.4642496659089051
121.0	0.4831198001550176
122.0	0.5027047241587822
123.0	0.5230245291430176
124.0	0.5440547495933546
125.0	0.5656478294657495
126.0	0.5887757261699349
127.0	0.6125767042704776
128.0	0.6371304165646795
129.0	0.6624645329897899
130.0	0.6884913642593793
131.0	0.7167173960378709
132.0	0.7457667610410913
133.0	0.7758546642405503
134.0	0.8067280070925862
135.0	0.8381296219451184
136.0	0.8736445967707044
137.0	0.9097572727591856
138.0	0.9465695810764584
139.0	0.9841624461162052
140.0	1.0218619726603848
141.0	1.069476085322872
142.0	1.1174972105549694
143.0	1.1665697934025356
144.0	1.2151778366602182
145.0	1.2618522395971932
146.0	1.3498860777819597
147.0	1.4340941910950402
148.0	1.5136239487310894
149.0	1.581808269137146
150.0	1.6094446871057249
