#Read position (bp)	Clipping profile
0.0	15.027514988926619
1.0	1.39762572716628
2.0	1.3267649971001327
3.0	1.2464527268977206
4.0	1.1573714995471138
5.0	1.0610099221397662
6.0	1.0210100060511833
7.0	0.9778153375714213
8.0	0.9341878224640481
9.0	0.8914853129975061
10.0	0.8487380293691957
11.0	0.8194887284490544
12.0	0.7899940615547613
13.0	0.7609811182614833
14.0	0.7321320198589782
15.0	0.7035331037747194
16.0	0.6807307469998422
17.0	0.6575531613433744
18.0	0.6349716428643893
19.0	0.6135090324718204
20.0	0.5922053614343726
21.0	0.574281782844188
22.0	0.5563753290330065
23.0	0.5393394740126983
24.0	0.5227481497140083
25.0	0.5065000345278357
26.0	0.4919501265927882
27.0	0.4777754475393312
28.0	0.46405314806453535
29.0	0.4505568599959554
30.0	0.8664468346893852
31.0	0.8438237529446949
32.0	0.8069778287056021
33.0	0.7845546252408369
34.0	0.7466922740146734
35.0	0.8314535082871157
36.0	0.7978175881955016
37.0	0.7714192954046784
38.0	0.748400470720217
39.0	0.7176149344170198
40.0	0.7334981669422496
41.0	0.7092678533348873
42.0	0.6829820310978281
43.0	0.6705301761653131
44.0	0.6469087733196857
45.0	0.6521849890837382
46.0	0.6295896459133705
47.0	0.6143212999842153
48.0	0.5969728285555462
49.0	0.5793342169909574
50.0	0.5672339551773465
51.0	0.5575440951999573
52.0	0.546350465566372
53.0	0.5283170029775852
54.0	0.5165017973811276
55.0	0.5131712062481697
56.0	0.5022932255358938
57.0	0.48902990581499983
58.0	0.4774760314814517
59.0	0.4648216225222925
60.0	0.45936220729953126
61.0	0.44921693523053247
62.0	0.43717054511753495
63.0	0.42620051871811837
64.0	0.41029079630036847
65.0	0.4055511569450747
66.0	0.39601693623518613
67.0	0.3875370489242235
68.0	0.3767269429870584
69.0	0.36654492399644906
70.0	0.35847540704065595
71.0	0.34875343810263615
72.0	0.33555424711144577
73.0	0.3267185746783856
74.0	0.3146508677831918
75.0	0.3036921687115532
76.0	0.2910298217037936
77.0	0.2760264638913974
78.0	0.26047118872238545
79.0	0.2492162844889303
80.0	0.2425698188299703
81.0	0.2362928737929332
82.0	0.23179824364556179
83.0	0.22951984531415456
84.0	0.22683437671519824
85.0	0.22705610692666345
86.0	0.22778613982322118
87.0	0.2280663796962798
88.0	0.22900592356095167
89.0	0.23096019977310525
90.0	0.23291269215411267
91.0	0.23519439057314023
92.0	0.23847003970679698
93.0	0.24220181446452166
94.0	0.2451132052781366
95.0	0.24895798573896927
96.0	0.2528957038025158
97.0	0.25752412128584773
98.0	0.26189147508094207
99.0	0.26660292990412676
100.0	0.27133257980500214
101.0	0.2770813324396672
102.0	0.2823056387173672
103.0	0.28788305437044553
104.0	0.29403852050643053
105.0	0.2999124088959973
106.0	0.3066335278884233
107.0	0.31353329757013515
108.0	0.3207931335686953
109.0	0.328187916393461
110.0	0.33601929189124446
111.0	0.3443313206913553
112.0	0.3529397330363973
113.0	0.3617461506386608
114.0	0.37096044123248917
115.0	0.3804324954269348
116.0	0.39068943532568196
117.0	0.40131072273602825
118.0	0.4122417724249016
119.0	0.42367853824370577
120.0	0.43546047538928795
121.0	0.4482979946155984
122.0	0.4617508463957699
123.0	0.47544977768255137
124.0	0.489525008149611
125.0	0.5040924868214479
126.0	0.5203513941860548
127.0	0.5368918792970798
128.0	0.5539973037320873
129.0	0.5718678133456742
130.0	0.5898060193512572
131.0	0.6110274557728679
132.0	0.6325703385670131
133.0	0.655045183943459
134.0	0.6782073394605127
135.0	0.7010301211020132
136.0	0.7295194207623418
137.0	0.7582647001921414
138.0	0.7871782840905793
139.0	0.8166061465084495
140.0	0.8457907835495434
141.0	0.8884383510167845
142.0	0.9309921781572958
143.0	0.9745353180514565
144.0	1.0176439166784175
145.0	1.0576267079879973
146.0	1.1537691417390414
147.0	1.2429200276959051
148.0	1.323057304062881
149.0	1.3938856575937257
150.0	1.4353024707616875
