#Insert size (bp)	insert size
357.0	409809.0
358.0	407897.0
359.0	405662.0
360.0	401848.0
361.0	399937.0
362.0	399048.0
363.0	396157.0
364.0	392263.0
365.0	390937.0
366.0	388825.0
367.0	385574.0
368.0	383505.0
369.0	381241.0
370.0	379280.0
371.0	377621.0
372.0	374328.0
373.0	372219.0
374.0	369149.0
375.0	366499.0
376.0	364064.0
377.0	362734.0
378.0	358436.0
379.0	356257.0
380.0	356356.0
381.0	352921.0
382.0	350578.0
383.0	348101.0
384.0	345949.0
385.0	344383.0
386.0	340860.0
387.0	339342.0
388.0	337508.0
389.0	335432.0
390.0	332345.0
391.0	329516.0
392.0	328478.0
393.0	325086.0
394.0	323805.0
395.0	321804.0
396.0	318973.0
397.0	317122.0
398.0	313797.0
399.0	312521.0
400.0	309740.0
401.0	307967.0
402.0	306884.0
403.0	303856.0
404.0	302795.0
405.0	299383.0
406.0	299229.0
407.0	295543.0
408.0	293710.0
409.0	291455.0
410.0	288567.0
411.0	287369.0
412.0	285181.0
413.0	282954.0
414.0	281625.0
415.0	277400.0
416.0	277101.0
417.0	275221.0
418.0	272958.0
419.0	270908.0
420.0	268916.0
421.0	266558.0
422.0	265898.0
423.0	263912.0
424.0	261567.0
425.0	259770.0
426.0	257797.0
427.0	256028.0
428.0	252970.0
429.0	252820.0
430.0	250391.0
431.0	249078.0
432.0	247115.0
433.0	245266.0
434.0	243591.0
435.0	242363.0
436.0	240181.0
437.0	238274.0
438.0	236883.0
439.0	234539.0
440.0	232538.0
441.0	231351.0
442.0	228635.0
443.0	227662.0
444.0	225315.0
445.0	222460.0
446.0	220741.0
447.0	217977.0
448.0	217438.0
449.0	214864.0
450.0	212932.0
451.0	212543.0
452.0	209830.0
453.0	208916.0
454.0	206512.0
455.0	205409.0
456.0	203755.0
457.0	202906.0
458.0	200461.0
459.0	198125.0
460.0	196785.0
461.0	195940.0
462.0	194506.0
463.0	192206.0
464.0	191404.0
465.0	190268.0
466.0	188403.0
467.0	187539.0
468.0	185095.0
469.0	184703.0
470.0	182656.0
471.0	181453.0
472.0	179685.0
473.0	178210.0
474.0	177451.0
475.0	175966.0
476.0	174895.0
477.0	173719.0
478.0	170701.0
479.0	170187.0
480.0	169288.0
481.0	167456.0
482.0	166672.0
483.0	164777.0
484.0	163586.0
485.0	161831.0
486.0	161680.0
487.0	159842.0
488.0	158276.0
489.0	157901.0
490.0	156481.0
491.0	155074.0
492.0	153209.0
493.0	152336.0
494.0	151346.0
495.0	149387.0
496.0	148451.0
497.0	147759.0
498.0	146280.0
499.0	144575.0
500.0	144250.0
501.0	143202.0
502.0	142432.0
503.0	141115.0
504.0	140268.0
505.0	138521.0
506.0	137249.0
507.0	136125.0
508.0	135205.0
509.0	133989.0
510.0	133386.0
511.0	131348.0
512.0	130695.0
513.0	129789.0
514.0	129720.0
515.0	127971.0
516.0	126520.0
517.0	126005.0
518.0	124860.0
519.0	123498.0
520.0	122926.0
521.0	121705.0
522.0	120769.0
523.0	119551.0
524.0	118402.0
525.0	117239.0
526.0	115836.0
527.0	115237.0
528.0	113949.0
529.0	112522.0
530.0	112100.0
531.0	110228.0
532.0	109151.0
533.0	108175.0
534.0	106517.0
535.0	106080.0
536.0	105516.0
537.0	103954.0
538.0	104088.0
539.0	102828.0
540.0	101426.0
541.0	101154.0
542.0	99744.0
543.0	99262.0
544.0	98342.0
545.0	97810.0
546.0	96189.0
547.0	95587.0
548.0	94683.0
549.0	93945.0
550.0	93473.0
551.0	92095.0
552.0	92328.0
553.0	90733.0
