#Coverage	Number of genomic locations
128.0	62045.0
129.0	60403.0
130.0	57817.0
131.0	55336.0
132.0	52985.0
133.0	51113.0
134.0	48242.0
135.0	45687.0
136.0	44491.0
137.0	42239.0
138.0	41539.0
139.0	40198.0
140.0	38519.0
141.0	36998.0
142.0	35577.0
143.0	34140.0
144.0	33310.0
145.0	32114.0
146.0	31018.0
147.0	29716.0
148.0	28908.0
149.0	28074.0
150.0	26852.0
151.0	25646.0
152.0	25070.0
153.0	24253.0
154.0	23206.0
155.0	22302.0
156.0	21681.0
157.0	20887.0
158.0	20276.0
159.0	19632.0
160.0	18955.0
161.0	18612.0
162.0	17834.0
163.0	17394.0
164.0	16881.0
165.0	16075.0
166.0	15678.0
167.0	15075.0
168.0	14659.0
169.0	14182.0
170.0	13946.0
171.0	13407.0
172.0	12877.0
173.0	12415.0
174.0	11937.0
175.0	11701.0
176.0	11401.0
177.0	11345.0
178.0	10624.0
179.0	10298.0
180.0	10244.0
181.0	10011.0
182.0	9700.0
183.0	9448.0
184.0	9126.0
185.0	9032.0
186.0	8767.0
187.0	8294.0
188.0	8225.0
189.0	7872.0
190.0	7730.0
191.0	7339.0
192.0	7218.0
193.0	7026.0
194.0	6759.0
195.0	6533.0
196.0	6257.0
197.0	6197.0
198.0	5912.0
199.0	5866.0
200.0	5587.0
201.0	5574.0
202.0	5326.0
203.0	5235.0
204.0	5089.0
205.0	5107.0
206.0	4955.0
207.0	4934.0
208.0	4674.0
209.0	4523.0
210.0	4439.0
211.0	4180.0
212.0	4398.0
213.0	4232.0
214.0	4221.0
215.0	4198.0
216.0	3972.0
217.0	3849.0
218.0	3742.0
219.0	3843.0
220.0	3701.0
221.0	3655.0
222.0	3582.0
223.0	3393.0
224.0	3324.0
225.0	3252.0
226.0	3261.0
227.0	3167.0
228.0	3150.0
229.0	2937.0
230.0	2970.0
231.0	2913.0
232.0	2954.0
233.0	2852.0
234.0	2748.0
235.0	2774.0
236.0	2652.0
237.0	2595.0
238.0	2511.0
239.0	2427.0
240.0	2507.0
241.0	2356.0
242.0	2334.0
243.0	2264.0
244.0	2293.0
245.0	2325.0
246.0	2279.0
247.0	2174.0
248.0	2044.0
249.0	2047.0
250.0	1968.0
251.0	1950.0
252.0	1841.0
253.0	1798.0
254.0	1902.0
255.0	1830.0
256.0	1855.0
257.0	1799.0
258.0	1758.0
259.0	1644.0
260.0	1626.0
261.0	1647.0
262.0	1681.0
263.0	1596.0
264.0	1564.0
265.0	1543.0
266.0	1496.0
267.0	1428.0
268.0	1422.0
269.0	1425.0
270.0	1463.0
271.0	1416.0
272.0	1426.0
273.0	1379.0
274.0	1319.0
275.0	1384.0
276.0	1303.0
277.0	1248.0
278.0	1250.0
279.0	1207.0
280.0	1244.0
281.0	1211.0
282.0	1203.0
283.0	1183.0
284.0	1193.0
285.0	1134.0
286.0	1121.0
287.0	1109.0
288.0	1197.0
289.0	1152.0
290.0	1116.0
291.0	1109.0
292.0	1118.0
293.0	1053.0
294.0	1060.0
295.0	1029.0
296.0	1046.0
297.0	1099.0
298.0	1097.0
299.0	1083.0
300.0	1057.0
301.0	976.0
302.0	953.0
303.0	969.0
304.0	1002.0
305.0	1048.0
306.0	997.0
307.0	977.0
308.0	861.0
309.0	943.0
310.0	889.0
311.0	943.0
312.0	913.0
313.0	858.0
314.0	840.0
315.0	853.0
316.0	842.0
317.0	842.0
318.0	768.0
319.0	774.0
320.0	717.0
321.0	740.0
322.0	719.0
323.0	758.0
324.0	729.0
325.0	719.0
326.0	725.0
327.0	648.0
328.0	650.0
329.0	670.0
330.0	659.0
331.0	665.0
332.0	648.0
333.0	592.0
334.0	576.0
335.0	614.0
336.0	614.0
337.0	616.0
338.0	566.0
339.0	513.0
340.0	550.0
341.0	532.0
342.0	548.0
343.0	519.0
344.0	520.0
345.0	519.0
346.0	490.0
347.0	534.0
348.0	507.0
349.0	480.0
350.0	511.0
351.0	492.0
352.0	499.0
353.0	514.0
354.0	482.0
355.0	464.0
356.0	473.0
357.0	508.0
358.0	487.0
359.0	506.0
360.0	477.0
361.0	460.0
362.0	428.0
363.0	458.0
364.0	461.0
365.0	453.0
366.0	483.0
367.0	409.0
368.0	475.0
369.0	466.0
370.0	454.0
371.0	455.0
372.0	445.0
373.0	392.0
374.0	420.0
375.0	401.0
376.0	437.0
377.0	460.0
378.0	465.0
379.0	456.0
380.0	405.0
381.0	405.0
382.0	411.0
383.0	387.0
384.0	341.0
385.0	326.0
386.0	336.0
387.0	341.0
388.0	365.0
389.0	375.0
390.0	390.0
391.0	377.0
392.0	375.0
393.0	360.0
394.0	385.0
395.0	364.0
396.0	333.0
397.0	334.0
398.0	322.0
399.0	347.0
400.0	346.0
401.0	315.0
402.0	306.0
403.0	349.0
404.0	332.0
405.0	337.0
406.0	329.0
407.0	302.0
408.0	308.0
409.0	325.0
410.0	288.0
411.0	294.0
412.0	349.0
413.0	308.0
414.0	316.0
415.0	292.0
416.0	320.0
417.0	282.0
418.0	290.0
419.0	320.0
420.0	356.0
421.0	280.0
422.0	321.0
423.0	307.0
424.0	287.0
425.0	266.0
426.0	281.0
427.0	313.0
428.0	320.0
429.0	308.0
430.0	291.0
431.0	276.0
432.0	283.0
433.0	280.0
434.0	268.0
435.0	289.0
436.0	232.0
437.0	277.0
438.0	299.0
439.0	279.0
440.0	305.0
441.0	262.0
442.0	252.0
443.0	290.0
444.0	287.0
445.0	247.0
446.0	242.0
447.0	253.0
448.0	255.0
449.0	272.0
450.0	267.0
451.0	242.0
452.0	249.0
453.0	275.0
454.0	267.0
455.0	244.0
456.0	205.0
457.0	240.0
458.0	226.0
459.0	225.0
460.0	216.0
461.0	209.0
462.0	207.0
463.0	236.0
464.0	232.0
465.0	217.0
466.0	214.0
467.0	227.0
468.0	206.0
469.0	196.0
470.0	227.0
471.0	230.0
472.0	252.0
473.0	214.0
474.0	205.0
475.0	187.0
476.0	211.0
477.0	211.0
478.0	197.0
479.0	204.0
480.0	189.0
481.0	196.0
482.0	211.0
483.0	171.0
484.0	189.0
485.0	191.0
486.0	187.0
487.0	202.0
488.0	192.0
489.0	191.0
490.0	206.0
491.0	232.0
492.0	200.0
493.0	187.0
494.0	198.0
495.0	215.0
496.0	191.0
497.0	177.0
498.0	176.0
499.0	201.0
500.0	186.0
501.0	201.0
502.0	182.0
503.0	189.0
504.0	227.0
505.0	199.0
506.0	220.0
507.0	179.0
508.0	191.0
509.0	200.0
510.0	176.0
511.0	162.0
512.0	178.0
513.0	187.0
514.0	182.0
515.0	210.0
516.0	195.0
517.0	196.0
518.0	174.0
519.0	189.0
520.0	168.0
521.0	189.0
522.0	146.0
523.0	151.0
524.0	161.0
525.0	152.0
526.0	150.0
527.0	139.0
528.0	122.0
529.0	162.0
530.0	147.0
