#Position (bp)	mapping quality
2586908.5	42.188116823634786
7760724.5	45.14198356366717
1.29345405E7	43.665070968562276
1.81083565E7	41.94765673486233
2.32821725E7	44.918258451889
2.84559885E7	43.98215861010444
3.36298045E7	43.71507417449617
3.88036205E7	45.67477332018096
4.39774365E7	44.742358474466755
4.91512525E7	42.95494401215515
5.43250685E7	45.373340128786566
5.94988845E7	44.462229287192976
6.46727005E7	44.54110205110426
6.98465165E7	40.601970103024534
7.50203325E7	39.73873184279813
8.01941485E7	41.022557349150375
8.53679645E7	39.71963638872999
9.05417805E7	37.7360659329219
9.57155965E7	37.8399188598787
1.008894125E8	40.124748618486066
1.060632285E8	39.578429102806304
1.112370445E8	39.94466286223768
1.164108605E8	37.68243876713417
1.215846765E8	41.01814906832831
1.267584925E8	39.67686359364442
1.319323085E8	38.65677799798709
1.371061245E8	40.29461679980354
1.422799405E8	38.55954571570598
1.474537565E8	37.22073789025007
1.526275725E8	34.98209833287005
1.578013885E8	36.665750848681846
1.629752045E8	32.195991254542484
1.681490205E8	37.737199908009856
1.733228365E8	33.88497531266565
1.784966525E8	40.040960547523746
1.836704685E8	34.74150666043824
1.888442845E8	36.32529923578005
1.940181005E8	34.62328694597846
1.991919165E8	33.30531304749902
2.043657325E8	28.875390656076693
2.095395485E8	22.62859033102819
2.147133645E8	30.179187889788327
2.198871805E8	30.148033690516318
2.250609965E8	33.12244642391756
2.302348125E8	34.15282129438807
2.354086285E8	38.02195497919134
2.405824445E8	34.083284429020495
2.457562605E8	33.03457932868766
2.509300765E8	33.53718303077398
2.561038925E8	37.501024938172385
2.612777085E8	28.582503666923877
2.664515245E8	30.88336468689712
2.716253405E8	26.0278481918783
2.767991565E8	32.15420289155068
2.819729725E8	32.44980972139748
2.871467885E8	34.366772150015834
2.923206045E8	28.069482616211808
2.974944205E8	30.888515135691936
3.026682365E8	37.12528699942825
3.078420525E8	34.5550154632781
3.130158685E8	35.763207382696294
3.181896845E8	36.144850321855586
3.233635005E8	34.71148943334294
3.285373165E8	33.81024622400976
3.337111325E8	35.99730963367817
3.388849485E8	36.09151509263632
3.440587645E8	35.274262179068714
3.492325805E8	36.17328102321246
3.544063965E8	31.289965026278054
3.595802125E8	31.488868366764518
3.647540285E8	34.15467921443586
3.699278445E8	36.29553955176026
3.751016605E8	38.157909938250626
3.802754765E8	40.296849867374284
3.854492925E8	38.01390486483543
3.906231085E8	41.09223883492907
3.957969245E8	43.58812592675695
4.009707405E8	42.55140926459346
4.061445565E8	39.07020567259624
4.113183725E8	42.76077352756787
4.164921885E8	42.21533040699735
4.216660045E8	40.37972673617799
4.268398205E8	40.990830843477966
4.320136365E8	42.924019888997016
4.371874525E8	44.105782102285644
4.423612685E8	44.82403343808777
4.475350845E8	43.78971697746941
4.527089005E8	43.57388373908156
4.578827165E8	46.951361205108846
4.630565325E8	43.89753785787102
4.682303485E8	45.23437859954449
4.734041645E8	46.081525248508875
4.785779805E8	47.35324218163992
4.823234295E8	44.693810237799454
4.849103375E8	42.795340884071884
4.889256125E8	48.27860600874945
4.940994285E8	46.489411354977165
4.992732445E8	43.5825398362452
5.044470605E8	47.35144940161219
5.096208765E8	46.20698786776464
5.147946925E8	46.98814613602805
5.199685085E8	46.37484380218414
5.251423245E8	45.92005786464839
5.303161405E8	42.377729787896776
5.354899565E8	43.92739720231774
5.406637725E8	44.42519540808725
5.458375885E8	43.814591410251786
5.510114045E8	44.70573232468715
5.561852205E8	40.63074298975049
5.613590365E8	41.943917636274335
5.665328525E8	41.53972548720044
5.717066685E8	43.00102390111391
5.768804845E8	43.48550868986316
5.820543005E8	41.627595989710656
5.872281165E8	41.751346941165124
5.924019325E8	44.45492043186898
5.975757485E8	42.50842543777614
6.027495645E8	43.640565768292234
6.079233805E8	43.24098603576761
6.130971965E8	42.02920281130762
6.182710125E8	41.41646359675503
6.234448285E8	42.89154185629006
6.286186445E8	40.939618410825766
6.337924605E8	40.37683224797132
6.389662765E8	38.49425731090246
6.441400925E8	35.3797267688298
6.493139085E8	35.80344262406849
6.520379055E8	38.74456568781424
6.546248135E8	42.36475557223881
6.596615405E8	43.49293440668003
6.648353565E8	44.11024068834667
6.700091725E8	43.78190923273064
6.751829885E8	43.63727513120678
6.803568045E8	42.393748781081506
6.855306205E8	43.22059729532426
6.907044365E8	42.16486465803082
6.958782525E8	41.84255875198996
7.010520685E8	40.10083958352775
7.062258845E8	43.62641141910992
7.113997005E8	44.30612447135244
7.165735165E8	42.339138422739744
7.217473325E8	43.2029553086685
7.269211485E8	39.19432142049424
7.320949645E8	40.47371650848565
7.372687805E8	42.42924125906283
7.424425965E8	39.93190029305168
7.476164125E8	42.57625574502268
7.527902285E8	40.31064462876489
7.579640445E8	41.0722739773857
7.631378605E8	40.933566455425584
7.683116765E8	42.028976907254545
7.734854925E8	39.757000704293205
7.786593085E8	42.31970842532571
7.838331245E8	42.715051780150965
7.890069405E8	38.009715770337
7.941807565E8	41.3054774511656
7.993545725E8	40.6605514163872
8.045283885E8	43.1493577116249
8.097022045E8	43.42923144551604
8.148760205E8	41.809186696134155
8.200498365E8	44.64907536364765
8.252236525E8	38.74148649571694
8.303974685E8	40.74350177601867
8.355712845E8	39.36511270253911
8.407451005E8	42.295479672209
8.459189165E8	43.00524465043888
8.510927325E8	42.57981023629138
8.562665485E8	42.915812443192245
8.614403645E8	39.18043360858712
8.666141805E8	29.414666039303867
8.717879965E8	40.08254502009896
8.769618125E8	40.868154099207125
8.821356285E8	41.35142403576152
8.873094445E8	39.47399626905214
8.924832605E8	41.793978102637624
8.976570765E8	41.44148667376736
9.028308925E8	41.67389068812648
9.080047085E8	40.555466824950486
9.131785245E8	41.7369446492422
9.183523405E8	38.73386412593678
9.235261565E8	40.62787837494515
9.286999725E8	41.7154870794254
9.338737885E8	39.41585105093775
9.390476045E8	40.350960269138625
9.442214205E8	41.21547298707136
9.493952365E8	41.858971035914465
9.545690525E8	41.597940156286676
9.597428685E8	41.93162778918023
9.649166845E8	41.99783341137924
9.700905005E8	43.987740007228915
9.752643165E8	44.04304771163864
9.804381325E8	43.445707573560306
9.856119485E8	45.39129287402921
9.907857645E8	42.68363384540693
9.959595805E8	45.39183052635428
1.0011333965E9	42.33293839305046
1.0063072125E9	44.433980763322
1.0114810285E9	43.391379228943826
1.0166548445E9	43.15332132926726
1.0218286605E9	42.077594013231035
1.0270024765E9	43.39718467947283
1.0321762925E9	44.34921597517298
1.0373501085E9	41.97782946769886
1.0425239245E9	42.031521737602034
1.0476977405E9	42.38606541498765
1.0528715565E9	39.79434390603431
1.0580453725E9	43.79996203125676
1.0632191885E9	42.19767076133888
1.0683930045E9	43.944129462743014
1.0735668205E9	43.87137940477499
1.0787406365E9	42.16192728843164
1.0839144525E9	40.17884876275955
1.0890882685E9	40.95002914441167
1.0942620845E9	38.79010005050877
1.0994359005E9	43.925387744845345
1.1046097165E9	45.1057354218103
1.1097835325E9	44.398579770130176
1.1149573485E9	47.83678135961063
1.1181882005E9	30.82677852064847
1.1207751085E9	45.27629796418598
1.1253049805E9	46.49446377079774
1.1304787965E9	44.79894521274233
1.1356526125E9	44.080122692697714
1.1408264285E9	44.064742296571104
1.1460002445E9	44.46883043334395
1.1511740605E9	42.83222851246858
1.1563478765E9	42.290037726810034
1.1615216925E9	42.09209830406124
1.1666955085E9	41.165081770204885
1.1718693245E9	43.12416876314052
1.1770431405E9	44.16687267617117
1.1822169565E9	41.7970793031214
1.1873907725E9	43.54394158973395
1.1925645885E9	44.84330624443244
1.1977384045E9	42.37687896219933
1.2029122205E9	42.66338930675462
1.2080860365E9	41.15082946236711
1.2132598525E9	44.20554101285692
1.2184336685E9	44.32207734896122
1.2236074845E9	43.45939666091032
1.2287813005E9	45.243185282639196
1.2339551165E9	43.55746217515185
1.2391289325E9	30.47698579133592
1.2443027485E9	43.542196271915316
1.2494765645E9	42.47624051186339
1.2546503805E9	42.58354657128308
1.2598241965E9	43.72384810255587
1.2649980125E9	42.77740927872636
1.2701718285E9	40.13299202448885
1.2753456445E9	44.16340637426892
1.2805194605E9	41.211675199453005
1.2856932765E9	44.22479099850734
1.2908670925E9	40.90438742704248
1.2960409085E9	42.578423243536854
1.3012147245E9	43.68261211930211
1.3063885405E9	43.78411523871384
1.3115623565E9	43.10441002367208
1.3167361725E9	44.800675851906725
1.3219099885E9	44.098046802315174
1.3270838045E9	43.45454520062625
1.3322576205E9	43.59431645299621
1.3374314365E9	44.3339485680679
1.3426052525E9	44.89333080195501
1.3477790685E9	44.88001541135457
1.3529528845E9	44.56449196862538
1.3581267005E9	44.876158297089006
1.3633005165E9	45.39591465307665
1.3684743325E9	43.5794045697366
1.3736481485E9	44.602606819203665
1.3788219645E9	45.46700129089272
1.3839957805E9	44.82674518052049
1.3891695965E9	44.71585497567139
1.3943434125E9	45.18521520664313
1.3995172285E9	45.46591557219515
1.4046910445E9	43.97093515259058
1.4098648605E9	44.891291633662064
1.4150386765E9	44.382225804172236
1.4202124925E9	44.83661392775384
1.4253863085E9	44.12463206955745
1.4305601245E9	47.02344589209795
1.4357339405E9	47.82381021455631
1.4388118925E9	30.714332181323314
1.441065418E9	0.0
1.443161282E9	0.0
1.443735882E9	0.0
1.4442895865E9	0.0
1.444913117E9	0.0
1.4455288255E9	0.0
1.4460931365E9	0.0
1.4465982825E9	0.0
1.447080158E9	0.0
1.4475167665E9	0.0
1.447907069E9	0.0
1.4482862265E9	0.0
1.4485718975E9	0.0
1.4487481175E9	0.0
1.449001605E9	0.0
1.449343901E9	0.0
1.4496668465E9	0.0
1.449974313E9	0.0
1.4502684415E9	0.0
1.450540361E9	0.0
1.450801367E9	0.0
1.451059176E9	0.0
1.451307661E9	0.0
1.451547714E9	0.0
1.451784517E9	0.0
1.452015901E9	0.0
1.452241601E9	0.0
1.4524656315E9	0.0
1.4526889625E9	0.0
1.452904683E9	0.0
1.4531132205E9	0.0
1.4533199045E9	0.0
1.45352382E9	0.0
1.4537245535E9	0.0
1.453833122E9	0.0
1.453924137E9	0.0
1.4540967415E9	0.0
1.4542765095E9	0.0
1.454453896E9	0.0
1.454627853E9	0.0
1.454793793E9	0.0
1.454954221E9	0.0
